"Codigo","Nombre","Resumen","Categoria","Subcategoria","Perfil_recomendado","Dificultad","Coste","Impacto_estimado","Periodo","Guia_ejecucion","Evidencia","Moodle","Fuente","Icono"
"ECO-MOV-001","Planificar rutas eficientes antes de salir","Organiza tus viajes para hacer menos kilómetros y ahorrar tiempo y combustible","Movilidad y transporte","Organización del transporte personal","ciudadano; familia; empleado","muy fácil","sin coste","Estimación AHC: 15-40 kg CO2/año","anual","1. Antes de salir, revisa el mapa y agrupa los recados en un solo trayecto | 2. Usa Google Maps o similar para encontrar la ruta más corta | 3. Comparte el plan de ruta con quien te acompañe o con colegas que hagan el mismo camino","Captura de pantalla de la ruta planificada en el móvil","Pendiente de vincular","estimación AHC","route"
"ECO-MOV-002","Usar transporte público en trayectos urbanos diarios","Sustituye el coche particular por autobús, metro o tren en la ciudad","Movilidad y transporte","Transporte público","ciudadano; empleado","fácil","sin coste","200-900 kg CO2/año según km diarios y vehículo sustituido","anual","1. Consulta líneas y horarios de tu ciudad en la app oficial de transporte | 2. Saca un bono mensual o tarjeta recargable | 3. Prueba la ruta durante una semana y evalúa el tiempo","Fotografía del bono de transporte o captura de la app","Pendiente de vincular","MITECO - Factor emisión coche convencional 0,17 kg CO2/km","directions_bus"
"ECO-MOV-003","Compartir coche al trabajo con compañeros (carpooling)","Divide el viaje diario en coche entre 2 o más personas y reduce emisiones a la mitad","Movilidad y transporte","Transporte compartido","ciudadano; empleado","fácil","sin coste","300-600 kg CO2/año (asumiendo 20 km/día, 220 días laborables)","anual","1. Identifica compañeros que vivan cerca o en la misma dirección | 2. Crea un grupo de WhatsApp o usa BlablaCar Daily | 3. Establece turnos semanales de quién conduce | 4. Comparte gastos de gasolina equitativamente","Captura del grupo o de la app de carpooling","Pendiente de vincular","estimación AHC basada en factor MITECO 0,17 kg CO2/km","groups"
"ECO-MOV-004","Usar bicicleta en trayectos urbanos menores de 5 km","Sustituye el coche o moto por la bici en desplazamientos cortos frecuentes","Movilidad y transporte","Transporte no motorizado","ciudadano; familia","fácil","bajo","120-400 kg CO2/año según frecuencia y vehículo sustituido","anual","1. Identifica los trayectos habituales menores de 5 km que haces en coche | 2. Comprueba los carriles bici disponibles en tu ciudad | 3. Empieza por 2 días a la semana y aumenta progresivamente | 4. Lleva casco y luces","Registro de trayectos en app de ciclismo (Strava, komoot)","Pendiente de vincular","MITECO; estimación AHC","directions_bike"
"ECO-MOV-005","Caminar en trayectos cotidianos menores de 2 km","Elimina emisiones y mejora tu salud sustituyendo el coche por ir a pie","Movilidad y transporte","Transporte no motorizado","ciudadano; familia","muy fácil","sin coste","50-150 kg CO2/año según km anuales sustituidos","anual","1. Localiza qué destinos frecuentes están a menos de 20 minutos andando | 2. Establece un horario para salir antes cuando vayas a pie | 3. Lleva calzado cómodo y aprovecha para escuchar podcasts o relajarte","Contador de pasos del móvil o smartwatch","Pendiente de vincular","estimación AHC","directions_walk"
"ECO-MOV-006","Teletrabajar al menos 1 día a la semana","Reduce los desplazamientos al trabajo y las emisiones asociadas","Movilidad y transporte","Alternativas al transporte","empleado","muy fácil","sin coste","100-300 kg CO2/año según distancia al trabajo y tipo de vehículo","anual","1. Habla con tu responsable para acordar el día de teletrabajo | 2. Prepara un espacio de trabajo en casa con buena conexión | 3. Registra los días que evitas el desplazamiento | 4. Comunica los ahorros obtenidos a tu equipo","Extracto de calendario laboral con días en remoto","Pendiente de vincular","MITECO; estimación AHC basada en km/año","home_work"
"ECO-MOV-007","Revisar la presión de los neumáticos mensualmente","Unos neumáticos bien inflados reducen el consumo de combustible hasta un 3%","Movilidad y transporte","Vehículos personales","ciudadano; familia","muy fácil","sin coste","30-80 kg CO2/año en vehículo de tamaño medio","anual","1. Consulta la presión recomendada en el manual del coche o en la puerta del conductor | 2. Ve a una gasolinera con compresor (suele ser gratis) | 3. Infla los cuatro neumáticos a la presión correcta | 4. Repite cada 30 días o antes de un viaje largo","Foto de la pantalla de presión en la gasolinera","Pendiente de vincular","IDAE - Guía conducción eficiente","tire_repair"
"ECO-MOV-008","Conducir de forma eficiente (eco-driving)","Cambiar la marcha a bajas revoluciones y mantener velocidad constante ahorra hasta un 15% de combustible","Movilidad y transporte","Vehículos personales","ciudadano; familia","fácil","sin coste","100-250 kg CO2/año según kilometraje anual","anual","1. Cambia a marcha superior antes de 2.500 rpm | 2. Mantén la velocidad constante y evita aceleraciones bruscas | 3. Anticipa frenadas y deja rodar el coche | 4. Apaga el motor si vas a parar más de 60 segundos","Registro de consumo del cuadro de mandos del coche (litros/100 km)","Pendiente de vincular","IDAE - Guía de conducción eficiente 2024","eco"
"ECO-MOV-009","Planificar las compras para reducir desplazamientos en coche","Agrupar recados y compras en un solo viaje reduce kilómetros y emisiones","Movilidad y transporte","Organización del transporte personal","ciudadano; familia","muy fácil","sin coste","50-150 kg CO2/año","anual","1. Haz una lista de la compra semanal antes de salir | 2. Agrupa las gestiones del día en una sola salida | 3. Considera el supermercado del barrio en lugar de centros comerciales lejanos | 4. Compra online para artículos no perecederos si el envío es más eficiente","Lista de la compra digital (captura de pantalla)","Pendiente de vincular","estimación AHC","list_alt"
"ECO-MOV-010","Elegir vuelo directo y compensar emisiones del viaje aéreo","Un vuelo con escala puede emitir hasta un 50% más que el directo; compensar reduce el impacto residual","Movilidad y transporte","Aviación","ciudadano; empleado","moderada","variable","Variable: vuelo Madrid-Barcelona ≈ 100 kg CO2; Madrid-NYC ≈ 600 kg CO2","anual","1. Busca siempre vuelo directo aunque sea algo más caro | 2. Calcula las emisiones con la calculadora ICAO o similar | 3. Compensa las emisiones en un proyecto validado (Gold Standard, VCS) | 4. Valora si el viaje puede hacerse en tren","Confirmación de compensación de carbono en proyecto certificado","Pendiente de vincular","ICAO Carbon Emissions Calculator; GHG Protocol","flight"
"ECO-ENE-001","Apagar completamente los dispositivos en stand-by","El consumo fantasma representa hasta el 10% de la factura eléctrica anual","Energía y vivienda","Consumo fantasma","ciudadano; familia","muy fácil","sin coste","40-80 kg CO2/año; 15-30 € de ahorro anual","anual","1. Identifica los dispositivos que dejan luz piloto encendida (TV, router, microondas) | 2. Instala regletas con interruptor individual (< 10 €) | 3. Apaga la regleta al salir o al acostarte | 4. Desconecta cargadores del enchufe cuando no estén en uso","Factura eléctrica antes y después comparando consumo en kWh","Pendiente de vincular","IDAE; factor de emisión electricidad España 0,22 kg CO2/kWh (REE 2024)","power_settings_new"
"ECO-ENE-002","Cambiar todas las bombillas del hogar a LED","Las bombillas LED consumen hasta un 80% menos que las incandescentes y duran 15 veces más","Energía y vivienda","Iluminación","ciudadano; familia","fácil","bajo","50-120 kg CO2/año en hogar medio; 30-60 € de ahorro anual","anual","1. Haz un inventario de las bombillas actuales (potencia y casquillo) | 2. Compra equivalentes LED (una bombilla de 10W LED = 60W incandescente) | 3. Cámbialas todas en una tarde | 4. Lleva las antiguas al punto verde para su reciclaje","Foto del recibo de compra de bombillas LED","Pendiente de vincular","IDAE; equivalencias LED estándar","lightbulb"
"ECO-ENE-003","Regular el termostato a 19-20°C en invierno y 24-25°C en verano","Cada grado de más en calefacción supone un 7% más de consumo energético","Energía y vivienda","Calefacción y refrigeración","ciudadano; familia; empleado","muy fácil","sin coste","80-200 kg CO2/año en vivienda media","anual","1. Instala un termostato programable (desde 20 €) si no tienes uno | 2. Programa 19°C para horas de presencia y 15°C para dormir o ausencia | 3. En verano no bajes el aire acondicionado de 24°C | 4. Usa ropa de abrigo en casa antes de subir la calefacción","Foto del termostato con la temperatura configurada","Pendiente de vincular","IDAE; Ministerio para la Transición Ecológica","thermostat"
"ECO-ENE-004","Contratar electricidad 100% de fuentes renovables","Cambiar de tarifa o comercializadora a energía verde elimina las emisiones del consumo eléctrico","Energía y vivienda","Energías renovables","ciudadano; familia","moderada","sin coste","200-500 kg CO2/año según consumo del hogar","anual","1. Consulta la web de tu comercializadora actual y busca tarifa verde | 2. Compara precios en el comparador de la CNMC | 3. Contrata con una comercializadora certificada (Som Energia, Holaluz, etc.) | 4. Solicita el certificado de origen renovable","Contrato o factura con indicación de energía 100% renovable","Pendiente de vincular","REE - Informe del sistema eléctrico 2024","solar_power"
"ECO-ENE-005","Lavar la ropa a 30°C en lugar de a 60°C","El 90% del consumo energético de la lavadora va a calentar el agua","Energía y vivienda","Electrodomésticos","ciudadano; familia","muy fácil","sin coste","30-60 kg CO2/año; 15-25 € de ahorro en electricidad","anual","1. Selecciona el programa de 30°C en tu lavadora | 2. Usa un detergente apto para agua fría (casi todos lo son) | 3. Llena siempre la lavadora a su capacidad máxima | 4. Reserva el 60°C solo para ropa muy sucia o de personas enfermas","Foto del selector de temperatura de la lavadora en 30°C","Pendiente de vincular","IDAE; Energy Saving Trust","local_laundry_service"
"ECO-ENE-006","Tender la ropa al aire libre en lugar de usar la secadora","La secadora consume entre 1,5 y 3 kWh por ciclo","Energía y vivienda","Electrodomésticos","ciudadano; familia","muy fácil","sin coste","80-180 kg CO2/año si se usan 200 ciclos anuales","anual","1. Instala un tendedero interior o de balcón si no tienes patio | 2. Planifica el lavado con tiempo suficiente para que seque al aire | 3. En invierno tiende cerca de un radiador pero sin contacto directo | 4. Usa la secadora solo cuando sea imprescindible","Foto del tendedero en uso","Pendiente de vincular","IDAE; factor emisión electricidad REE 2024","wb_sunny"
"ECO-ENE-007","Usar la lavadora y lavavajillas solo con carga completa","Un ciclo a media carga consume casi la misma energía que uno completo","Energía y vivienda","Electrodomésticos","ciudadano; familia","muy fácil","sin coste","30-70 kg CO2/año según ciclos evitados","anual","1. No pongas la lavadora o el lavavajillas a menos del 80% de capacidad | 2. Acumula ropa sucia o vajilla hasta tener carga completa | 3. Usa el modo ECO si tu aparato lo tiene | 4. Programa el ciclo en horas valle (22h-12h) si tienes tarifa con discriminación horaria","Foto del electrodoméstico con carga completa","Pendiente de vincular","IDAE","dishwasher_gen"
"ECO-ENE-008","Instalar regletas con interruptor en zonas de electrónica","Permiten cortar de un solo click el consumo fantasma de televisores, ordenadores y consolas","Energía y vivienda","Consumo fantasma","ciudadano; familia","fácil","bajo","30-60 kg CO2/año; coste regleta 8-15 €","anual","1. Localiza los puntos de la casa con varios dispositivos electrónicos enchufados | 2. Compra regletas con interruptor individual por toma (< 15 €) | 3. Enchúfalas y organiza los cables | 4. Apaga la regleta completa al salir o al acostarte","Foto de la regleta instalada y apagada","Pendiente de vincular","IDAE; OCU - Consumo fantasma en hogares españoles","power"
