"codigo","nombre","categoria","subcategoria","perfiles","dificultad","coste","impacto_estimado_original","periodo","fuente_original","icono","tipo_calculo_inicial","prioridad_validacion","formula_visible_pendiente","factor_pendiente","unidad_pendiente","fuente_validada_pendiente","confianza_pendiente","responsable_ambiental","responsable_editorial","estado_recomendado","observaciones"
"ECO-MOV-001","Planificar rutas eficientes antes de salir","Movilidad y transporte","Organización del transporte personal","ciudadano; familia; empleado","muy fácil","sin coste","Estimación AHC: 15-40 kg CO2/año","anual","estimación AHC","route","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-002","Usar transporte público en trayectos urbanos diarios","Movilidad y transporte","Transporte público","ciudadano; empleado","fácil","sin coste","200-900 kg CO2/año según km diarios y vehículo sustituido","anual","MITECO - Factor emisión coche convencional 0,17 kg CO2/km","directions_bus","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-003","Compartir coche al trabajo con compañeros (carpooling)","Movilidad y transporte","Transporte compartido","ciudadano; empleado","fácil","sin coste","300-600 kg CO2/año (asumiendo 20 km/día, 220 días laborables)","anual","estimación AHC basada en factor MITECO 0,17 kg CO2/km","groups","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-004","Usar bicicleta en trayectos urbanos menores de 5 km","Movilidad y transporte","Transporte no motorizado","ciudadano; familia","fácil","bajo","120-400 kg CO2/año según frecuencia y vehículo sustituido","anual","MITECO; estimación AHC","directions_bike","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-005","Caminar en trayectos cotidianos menores de 2 km","Movilidad y transporte","Transporte no motorizado","ciudadano; familia","muy fácil","sin coste","50-150 kg CO2/año según km anuales sustituidos","anual","estimación AHC","directions_walk","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-006","Teletrabajar al menos 1 día a la semana","Movilidad y transporte","Alternativas al transporte","empleado","muy fácil","sin coste","100-300 kg CO2/año según distancia al trabajo y tipo de vehículo","anual","MITECO; estimación AHC basada en km/año","home_work","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-007","Revisar la presión de los neumáticos mensualmente","Movilidad y transporte","Vehículos personales","ciudadano; familia","muy fácil","sin coste","30-80 kg CO2/año en vehículo de tamaño medio","anual","IDAE - Guía conducción eficiente","tire_repair","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-008","Conducir de forma eficiente (eco-driving)","Movilidad y transporte","Vehículos personales","ciudadano; familia","fácil","sin coste","100-250 kg CO2/año según kilometraje anual","anual","IDAE - Guía de conducción eficiente 2024","eco","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-009","Planificar las compras para reducir desplazamientos en coche","Movilidad y transporte","Organización del transporte personal","ciudadano; familia","muy fácil","sin coste","50-150 kg CO2/año","anual","estimación AHC","list_alt","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-MOV-010","Elegir vuelo directo y compensar emisiones del viaje aéreo","Movilidad y transporte","Aviación","ciudadano; empleado","moderada","variable","Variable: vuelo Madrid-Barcelona ≈ 100 kg CO2; Madrid-NYC ≈ 600 kg CO2","anual","ICAO Carbon Emissions Calculator; GHG Protocol","flight","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-001","Apagar completamente los dispositivos en stand-by","Energía y vivienda","Consumo fantasma","ciudadano; familia","muy fácil","sin coste","40-80 kg CO2/año; 15-30 € de ahorro anual","anual","IDAE; factor de emisión electricidad España 0,22 kg CO2/kWh (REE 2024)","power_settings_new","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-002","Cambiar todas las bombillas del hogar a LED","Energía y vivienda","Iluminación","ciudadano; familia","fácil","bajo","50-120 kg CO2/año en hogar medio; 30-60 € de ahorro anual","anual","IDAE; equivalencias LED estándar","lightbulb","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-003","Regular el termostato a 19-20°C en invierno y 24-25°C en verano","Energía y vivienda","Calefacción y refrigeración","ciudadano; familia; empleado","muy fácil","sin coste","80-200 kg CO2/año en vivienda media","anual","IDAE; Ministerio para la Transición Ecológica","thermostat","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-004","Contratar electricidad 100% de fuentes renovables","Energía y vivienda","Energías renovables","ciudadano; familia","moderada","sin coste","200-500 kg CO2/año según consumo del hogar","anual","REE - Informe del sistema eléctrico 2024","solar_power","CO2 estimado","Alta","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-005","Lavar la ropa a 30°C en lugar de a 60°C","Energía y vivienda","Electrodomésticos","ciudadano; familia","muy fácil","sin coste","30-60 kg CO2/año; 15-25 € de ahorro en electricidad","anual","IDAE; Energy Saving Trust","local_laundry_service","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-006","Tender la ropa al aire libre en lugar de usar la secadora","Energía y vivienda","Electrodomésticos","ciudadano; familia","muy fácil","sin coste","80-180 kg CO2/año si se usan 200 ciclos anuales","anual","IDAE; factor emisión electricidad REE 2024","wb_sunny","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-007","Usar la lavadora y lavavajillas solo con carga completa","Energía y vivienda","Electrodomésticos","ciudadano; familia","muy fácil","sin coste","30-70 kg CO2/año según ciclos evitados","anual","IDAE","dishwasher_gen","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-008","Instalar regletas con interruptor en zonas de electrónica","Energía y vivienda","Consumo fantasma","ciudadano; familia","fácil","bajo","30-60 kg CO2/año; coste regleta 8-15 €","anual","IDAE; OCU - Consumo fantasma en hogares españoles","power","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
"ECO-ENE-009","Aprovechar la luz natural durante el día","Energía y vivienda","Iluminación","ciudadano; familia; empleado","muy fácil","sin coste","10-30 kg CO2/año","anual","estimación AHC","wb_twilight","CO2 estimado","Media","PENDIENTE: redactar formula auditable","PENDIENTE: factor numerico y unidad","kg CO2e/año si aplica","PENDIENTE: validar fuente","pendiente","","","En revision / Pendiente de calculo","No publicar como calculo validado hasta revision tecnica"
